name,asset_type,tags,location_id,street_address,unit,unit_type,municipality,city,state,zip_code,latitude,longitude,parcel_id,residence,iffy_geocoding,available_transportation,parent_location_id,parent_location,url,email,phone,hours_of_operation,holiday_hours_of_operation,periodicity,capacity,wifi_network,internet_access,computers_available,accessibility,open_to_public,child_friendly,sensitive,do_not_display,localizability,services,hard_to_count_population,data_source_names,data_source_urls,organization_name,organization_phone,organization_email,etl_notes,geocoding_properties
Harrington's,community_nonprofit_orgs,fish fry,327,717 ROBINSON HWY,,,,MC DONALD,PA,15057,40.381131,-80.261538,,,,,,,https://www.facebook.com/Harringtons-114128741969634/,,17247965117,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 9:00 PM, Friday Mar 6 from 11:00 AM to 9:00 PM, Friday Mar 13 from 11:00 AM to 9:00 PM, Friday Mar 20 from 11:00 AM to 9:00 PM, Friday Mar 27 from 11:00 AM to 9:00 PM, Friday Apr 3 from 11:00 AM to 9:00 PM, Friday Apr 10 from 11:00 AM to 9:00 PM",
"Holy Redeemer, Ellwood City - Takeout-only pizza and pierogie sale",community_nonprofit_orgs,fish fry,318,311 LAWRENCE AVE,,,,ELLWOOD CITY,PA,,40.870378,-80.283785,,,,,,,https://stferd.org/holy-redeemer,,17247529350,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,Fish Fry events: Wednesday Feb 26 from 3:00 PM to 7:00 PM,
"Immaculate Conception, Washington",community_nonprofit_orgs,fish fry,250,119 W CHESTNUT ST,,,,WASHINGTON,PA,,40.172023,-80.248403,,,,,,,https://www.icwashpa.net/,,17242229737,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 11:00 AM to 7:00 PM, Friday Feb 28 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM, Friday Apr 3 from 11:00 AM to 7:00 PM",
Keith Heinritz Katering,community_nonprofit_orgs,fish fry,292,209 BRINTON AVE,,,,TRAFFORD,PA,,40.382784,-79.762428,,,,,,,https://keith-heinritz-katering.business.site,,14123736788,,,seasonal,,,,f,f,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 10:30 AM to 8:00 PM, Friday Feb 28 from 10:30 AM to 9:00 PM, Friday Mar 6 from 10:30 AM to 9:00 PM, Friday Mar 13 from 10:30 AM to 9:00 PM, Friday Mar 20 from 10:30 AM to 9:00 PM, Friday Mar 27 from 10:30 AM to 9:00 PM, Friday Apr 3 from 10:30 AM to 9:00 PM, Friday Apr 10 from 10:30 AM to 9:00 PM",
Mount St. Peter,community_nonprofit_orgs,fish fry,257,100 FREEPORT RD,,,,NEW KENSINGTON,PA,,40.563602,-79.761143,,,,,,,https://www.facebook.com/MSPParish/,,17243351458,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 6:00 PM, Friday Mar 6 from 11:00 AM to 6:00 PM, Friday Mar 13 from 11:00 AM to 6:00 PM, Friday Mar 20 from 11:00 AM to 6:00 PM, Friday Mar 27 from 11:00 AM to 6:00 PM, Friday Apr 3 from 11:00 AM to 6:00 PM",
New Alexandria Volunteer Fire Department,community_nonprofit_orgs,fish fry,298,8370 STATE ROUTE 22,,,,NEW ALEXANDRIA,PA,15670,40.401498,-79.415829,,,,,,,www.Facebook.com/NAVFD77,fundraising@navfd77.com,17246689911,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM, Friday Apr 3 from 11:00 AM to 7:00 PM, Friday Apr 10 from 11:00 AM to 7:00 PM",
MANATAWNY MANOR,nursing_homes,,4147,30 OLD SCHUYLKILL ROAD,,,,POTTSTOWN,,19465,40.225984,-75.623054,,,,,,,https://www.diakonseniorliving.org/communities/manatawny-manor,christianm@diak,16107053700,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MAJESTIC OAKS REHAB & NURSING CENTER,nursing_homes,,3901,333 NEWTOWN ROAD,,,,WARMINSTER,,18974,40.18542,-75.076888,,,,,,,http://www.majesticrehab.com,mschneider@maje,12156729082,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
STEELWORKERS TOWER,affordable_housing,,2243,2639 Perrysville Ave,,,,Pittsburgh,PA,15214-3413,40.471722,-80.010459,,,,,,,,,14123212460,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
STATE MANOR APTS,affordable_housing,,2064,1020 State Ave,,,,Coraopolis,PA,15108-1844,40.51703199,-80.1646006,,,,,,,,,14122448180,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
ST THERESE PLAZA,affordable_housing,,2116,4 St Therese Ct,,,,Homestead,PA,15120-3702,40.38781593,-79.90185904,,,,,,,,,14124622319,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
ST JUSTIN PLAZA,affordable_housing,,2242,120 Boggs Ave,,,,Pittsburgh,PA,15211-2059,40.42669996,-80.00687952,,,,,,,,,14128266101,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
MARIAN PLAZA,affordable_housing,,2209,8601 Bricelyn St,,,,Pittsburgh,PA,15221-1092,40.45891149,-79.87372731,,,,,,,,,,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
"Queen of the Rosary, Glassport",community_nonprofit_orgs,fish fry,227,530 MICHIGAN AVE,,,,GLASSPORT,PA,,40.327075,-79.890492,,,,,,,https://www.facebook.com/qorfishfry/,,14128725136,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 11:00 AM to 7:00 PM, Friday Feb 28 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM, Friday Apr 3 from 11:00 AM to 7:00 PM, Friday Apr 10 from 11:00 AM to 7:00 PM",
"Riverview Church, on Pittsburgh's North Side",community_nonprofit_orgs,fish fry,317,3505 PERRYSVILLE AVE,,,,PITTSBURGH,PA,15214,40.484124,-80.014374,,,,,,,https://www.riverviewpresbyterian.org/,,14123217301,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Thursday Feb 28 from 11:00 AM to 8:30 PM, Friday Mar 6 from 11:00 AM to 8:30 PM, Friday Mar 13 from 11:00 AM to 8:30 PM, Friday Mar 20 from 11:00 AM to 8:30 PM, Friday Mar 27 from 11:00 AM to 8:30 PM, Friday Apr 3 from 11:00 AM to 8:30 PM, Friday Apr 10 from 11:00 AM to 8:30 PM",
"Sacred Heart Church of  Immaculate Conception Parish, Claysville",community_nonprofit_orgs,fish fry,323,RT 40 AND S,,,,CLAYSVILLE,PA,,40.116334,-80.415484,,,,,,,,,17246637675,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 7:00 PM, Friday Mar 6 from 11:00 AM to 7:00 PM, Friday Mar 13 from 11:00 AM to 7:00 PM, Friday Mar 20 from 11:00 AM to 7:00 PM, Friday Mar 27 from 11:00 AM to 7:00 PM",
St. Bernadette (Monroeville),community_nonprofit_orgs,fish fry,367,245 AZALEA DR,,,,MONROEVILLE,PA,15146,40.441257,-79.771866,,,,,,,www.cdsfishfry.org,,14128430668,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 4:30 PM to 7:00 PM, Friday Mar 6 from 4:30 PM to 7:00 PM, Friday Mar 13 from 4:30 PM to 7:00 PM, Friday Mar 20 from 4:30 PM to 7:00 PM, Friday Mar 27 from 4:30 PM to 7:00 PM, Friday Apr 3 from 4:30 PM to 7:00 PM",
St. Iranaeus,community_nonprofit_orgs,fish fry,288,387 MARYLAND AVE,,,,OAKMONT,PA,15139,40.519276,-79.841161,,,,,,,https://opvcatholic.org/about-st-i,,14128283065,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:00 AM to 1:00 PM, Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 11:00 AM to 1:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 11:00 AM to 1:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 11:00 AM to 1:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 11:00 AM to 1:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 11:00 AM to 1:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",
St. Joseph (Coraopolis),community_nonprofit_orgs,fish fry,236,1313 5TH AVE,,,,CORAOPOLIS,PA,15108,40.515674,-80.15899,,,,,,,http://www.stjosephcatholicchurch.net/,,14123297911,,,seasonal,,,,f,f,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Friday Feb 28 from 11:30 AM to 1:30 PM, Friday Feb 28 from 3:30 PM to 6:45 PM, Friday Mar 6 from 11:30 AM to 1:30 PM, Friday Mar 6 from 3:30 PM to 6:45 PM, Friday Mar 13 from 11:30 AM to 1:30 PM, Friday Mar 13 from 3:30 PM to 6:45 PM, Friday Mar 20 from 11:30 AM to 1:30 PM, Friday Mar 20 from 3:30 PM to 6:45 PM, Friday Mar 27 from 11:30 AM to 1:30 PM, Friday Mar 27 from 3:30 PM to 6:45 PM, Friday Apr 3 from 11:30 AM to 1:30 PM, Friday Apr 3 from 3:30 PM to 6:45 PM, Friday Apr 10 from 11:30 AM to 1:30 PM, Friday Apr 10 from 3:30 PM to 6:45 PM",
St. Mary Parish,community_nonprofit_orgs,fish fry,372,10 SAINT MARYS LN,,,,CECIL,PA,15321,40.328668,-80.184821,,,,,,,,,14122219771,,,seasonal,,,,f,t,,t,f,,FIX,,,WPRDC Dataset: Pittsburgh Fish Fries (2020),https://data.wprdc.org/dataset/pittsburgh-fish-fry-map,,,,"Fish Fry events: Wednesday Feb 26 from 11:00 AM to 1:00 PM, Wednesday Feb 26 from 4:00 PM to 7:00 PM, Friday Feb 28 from 11:00 AM to 1:00 PM, Friday Feb 28 from 4:00 PM to 7:00 PM, Friday Mar 6 from 11:00 AM to 1:00 PM, Friday Mar 6 from 4:00 PM to 7:00 PM, Friday Mar 13 from 11:00 AM to 1:00 PM, Friday Mar 13 from 4:00 PM to 7:00 PM, Friday Mar 20 from 11:00 AM to 1:00 PM, Friday Mar 20 from 4:00 PM to 7:00 PM, Friday Mar 27 from 11:00 AM to 1:00 PM, Friday Mar 27 from 4:00 PM to 7:00 PM, Friday Apr 3 from 11:00 AM to 1:00 PM, Friday Apr 3 from 4:00 PM to 7:00 PM",
Armstrong Playground (Play Area 5 to 12),parks_and_facilities,,9412,Carson St,,,,Pittsburgh,PA,,40.42821987,-79.98613126,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
MANORCARE HEALTH SERVICES - WEST ALLEN,nursing_homes,,4110,535 NORTH 17TH STREET,,,,ALLENTOWN,,18104,40.604804,-75.495493,,,,,,,http://www.heartland-manorcare.com/WestAllen,pamela.warner@h,16104324351,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MANORCARE HEALTH SERVICES - WALLINGFORD,nursing_homes,,3958,115 SOUTH PROVIDENCE ROAD,,,,WALLINGFORD,,19086,39.897344,-75.373214,,,,,,,http://www.heartland-manorcare.com/wallingford,sara.thompson@h,16106563232,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MANOR AT SUSQUEHANNA VILLAGE,nursing_homes,,3751,990 MEDICAL ROAD,,,,MILLERSBURG,,17061,40.551645,-76.9513,,,,,,,,DDaub@Susquehan,17176924751,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MANOR AT PERRY VILLAGE,nursing_homes,,3754,213 EAST MAIN STREET,,,,NEW BLOOMFIELD,,17068,40.421128,-77.179457,,,,,,,,Suzette.C.Brand,17175824346,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MANOR AT PENN VILLAGE,nursing_homes,,4069,51 ROUTE 204,,,,SELINSGROVE,,17870,40.810291,-76.867446,,,,,,,http://www.consulatehealthcare.com,Susan.P.Matelev,15703748181,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
Fineview Playground (Whirl),parks_and_facilities,,88446,63 Edenvale St,,,,Pittsburgh,PA,,40.46189553,-80.00356468,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
MANCHESTER PHASE III,affordable_housing,,2207,1100 & 1111 Sheffield St,,,,Pittsburgh,PA,15233-1524,40.45386987,-80.02156063,,,,,,,,,,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
MANCHESTER HOPE,affordable_housing,,2205,Scattered Sites,,,,Pittsburgh,PA,15233-1105,40.458327,-80.0287685,,,,,,,,,,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
LEXINGTON MANOR,affordable_housing,,2075,300 Lexington Ct,,,,Imperial,PA,15126-9758,40.4454435,-80.26194148,,,,,,,,,14122621730,,,,,,,,,,,,,FIX,,,Pennsylvania Housing Finance Agency: Allegheny County Inventory of Affordable Housing,https://www.phfa.org/forms/multifamily_inventory/dv_allegheny.pdf,,,,,
Frick Beechwood Playground (Swing 2 Bays),parks_and_facilities,,9468,2515 Beechwood Blvd,,,,Pittsburgh,PA,,40.4300101,-79.91515805,,,,,,,,,,,,,,,,,t,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Grandview Playground (Swing 2 Bays),parks_and_facilities,,88474,745 McLain St,,,,Pittsburgh,PA,,40.42487439,-79.99406145,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Lincoln Place Playground (Play Area 2 to 5),parks_and_facilities,,88526,5375 Cox Ave,,,,Pittsburgh,PA,,40.37002022,-79.91737758,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Marmaduke Playground (Play Area 2 to 5),parks_and_facilities,,9319,1820 Marmaduke St,,,,Pittsburgh,PA,,40.48417911,-80.04243448,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Marmaduke Playground (Spring Toy - Turtle),parks_and_facilities,,9317,3827 Bonaventure Way,,,,Pittsburgh,PA,,40.48434776,-80.04241546,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Mutual Playground (Play Area 5 to 12),parks_and_facilities,,88574,Mutual St,,,,Pittsburgh,PA,,40.45221297,-80.063946,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Robert E. WIlliams Playground (Spring Toy - Fire Truck),parks_and_facilities,,88650,3500 Milwaukee St,,,,Pittsburgh,PA,,40.45450605,-79.95975344,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Schenley Anderson Playground (Slide),parks_and_facilities,,88661,Panther Hollow Rd,,,,Pittsburgh,PA,,40.43562247,-79.94752293,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Sheraden Upper Playground (Play Area 2 to 5),parks_and_facilities,,9431,3105 Ashlyn St,,,,Pittsburgh,PA,,40.45580262,-80.05729057,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
Sue Murray Playground (Spring Toy - Seat),parks_and_facilities,,88690,413 Cedar Ave,,,,Pittsburgh,PA,,40.45162795,-80.00150071,,,,,,,,,,,,,,,,,f,,t,,,FIX,,,WPRDC Dataset: Playground Equipment,https://data.wprdc.org/dataset/playground-equipment,,,,This is derived from an aggregated version of the WPRDC Playground Equipment dataset.,
MANORCARE HEALTH SERVICES KING OF PRUSSI,nursing_homes,,3885,600 WEST VALLEY FORGE ROAD,,,,KING OF PRUSSIA,,19406,40.103801,-75.393468,,,,,,,http://www.heartland-manorcare.com/KingofPrussia,BARBARA.REIGEL@,16103371775,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
MANORCARE HEALTH SERVICES JERSEY SHORE,nursing_homes,,3780,1008 THOMPSON STREET,,,,JERSEY SHORE,,17740,41.201828,-77.267556,,,,,,,http://www.heartland-manorcare.com/JerseyShore,rhonda.riggle@h,15703984747,,,,,,,,,,,,,FIX,,,PASDA: Nursing Homes,http://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=3074,,,,,
